title,content
狗改不了吃屎。。,"夫妻俩一到家，小狗就跑过来，贴着老婆又舔又亲，老公：老婆，我好羡慕你……,
老婆：羡慕我什么啊？,
老公：你看，在你面前，小狗的本性都显露出来了…,
老婆：什么本性？,
老公：狗改不了吃屎啊……,
老婆，啪：滚……"
莫名其妙的我笑了。,"一天，小朋友的作文写到：我生病了，妈妈照顾了我一个晚上，第二天早上，看到熟睡的妈妈眼睛布满血丝，我感动了。。。,
老师评语到：你妈妈是睁着眼睛睡觉的？"
委屈，我只是想找个厕所而已,"从前，有一个人在公路上，他看到了一个女人，问：男厕所在哪里。,
女的说：它在女厕所旁边。,
男说：那女厕所在哪。,
女说：卧槽，你一个大老爷们，问女厕所我想在哪？你，你变态啊!,
男：···"
我姐去只是幌子。,我姐被逼着去相亲，带着我。见面之后，男方也带着个其他人。后来我姐借故先走了，男方也找理由走了。留下我和那个男孩子，就开始聊天，后来觉得挺好的，就留了联系方式。回家之后说起这事，我妈特高兴，我才知道原本就是打算让我去相亲。。。让我姐去只是幌子
机智如我，我是不是很聪明呢？,一直想去KTV玩，可是没钱，今天进了一家KTV随便挑了个包厢，推门进去说：“我是隔壁的，玩大冒险输了，惩罚就是过来唱首歌。” 结果就这样唱了二十几个包厢，还免费喝了很多酒，还有包厢里的妹子要留我电话！
奇葩的老妈和丈母娘,家里来了两个老活宝，丈母娘和老妈一起来的。晚上媳妇去趟卫生间，回来一间惊讶的告诉我：“老公，你知道吗？就刚才！我听到我亲妈对你亲妈说：‘没意思，无聊，要不咱俩假装吵一架，看看这俩孩子会帮谁！’你亲妈居然说：‘好啊！好啊！’”
还是你女儿的收获大啊。,"张大妈：王姐，你儿子毕业有啥收获啊？,
王大妈：啥收获啊，就一张毕业证。,
张姐，你闺女呢？不是也刚毕业。,
张大妈：我闺女比你儿子强多了，给我抱回一个外孙来……"
不要这么逗可以不？,"A：看了泰囧了吗？,
B：看了。,
A：听说要在荷兰拍续集呢？！,
B：何囧？？！！！……"
没文化--真可怕,"甲：“关羽真厉害，斩颜良朱文丑，过五关斩六将，真了不起!”,
乙：“切，斩了个女人，算什么好汉!”,
甲：“关羽杀女人呢吗?”,
乙：“当然，颜良就是女人!”,
甲：“谁说的?”,
乙：“你没听说过，师太颜良吗?师太当然是只女人!”,
甲：“师太颜良……我靠，那是世态炎凉!”"
我可是没有打算花那么多钱啊。,富豪和妻子一起庆祝结婚十周年纪念日，富豪说：“亲爱的，跑车，钻石，项链，游艇，你想要哪一样？”妻子说：“亲爱的，我只要一件礼物，你一定要答应我。”富豪说：“只要是你想要的我什么都答应你。”妻子说：“我想要和你离婚。”富豪说：“我的天啊，我可没打算花那么多钱。”
